District Number,District Name,Total Enrollment,Total Students of Color or American Indian Count,Total Students of Color or American Indian Percent,Total Students Receiving Special Education Services Count,Total Students Receiving Special Education Services Percent,Total Female Count,Total Female Percent,Total Male Count,Total Male Percent,Total English Learner,Total English Learner Percent
84,Sleepy Eye Public School District,609,231,37.93%,87,14.29%,298,48.93%,311,51.07%,67,11.00%
363,South Koochiching School District,287,51,17.77%,61,21.25%,143,49.83%,144,50.17%,3,1.05%
6,South St. Paul Public School District,3548,1618,45.60%,571,16.09%,1714,48.31%,1834,51.69%,222,6.26%
833,South Washington County School District,18966,6296,33.20%,2940,15.50%,9166,48.33%,9800,51.67%,977,5.15%
500,Southland Public School District,382,33,8.64%,50,13.09%,183,47.91%,199,52.09%,10,2.62%
297,Spring Grove School District,361,12,3.32%,50,13.85%,176,48.75%,185,51.25%,0,0.00%
16,Spring Lake Park Public Schools,6096,2661,43.65%,788,12.93%,3025,49.62%,3071,50.38%,689,11.30%
85,Springfield Public School District,566,45,7.95%,70,12.37%,266,47.00%,300,53.00%,2,0.35%
282,St. Anthony-New Brighton Schools,1837,633,34.46%,164,8.93%,913,49.70%,924,50.30%,132,7.19%
858,St. Charles Public School District,996,191,19.18%,103,10.34%,480,48.19%,516,51.81%,49,4.92%
75,St. Clair Public School District,666,18,2.70%,85,12.76%,338,50.75%,328,49.25%,0,0.00%
742,St. Cloud Public School District,10292,5629,54.69%,2078,20.19%,4852,47.14%,5440,52.86%,2466,23.96%
15,St. Francis Public School District,4547,673,14.80%,717,15.77%,2189,48.14%,2358,51.86%,99,2.18%
840,St. James Public School District,1042,544,52.21%,179,17.18%,518,49.71%,524,50.29%,152,14.59%
2142,St. Louis County School District,2061,428,20.77%,441,21.40%,969,47.02%,1092,52.98%,0,0.00%
283,St. Louis Park Public School District,4714,2152,45.65%,655,13.89%,2313,49.07%,2401,50.93%,438,9.29%
885,St. Michael-Albertville School District,6463,852,13.18%,677,10.48%,3093,47.86%,3370,52.14%,108,1.67%
625,St. Paul Public School District,36888,29207,79.18%,5791,15.70%,17788,48.22%,19100,51.78%,10957,29.70%
508,St. Peter Public School District,2246,664,29.56%,404,17.99%,1051,46.79%,1195,53.21%,195,8.68%
2170,Staples-Motley School District,1104,130,11.78%,227,20.56%,485,43.93%,619,56.07%,4,0.36%
2856,Stephen-Argyle Central Schools,300,37,12.33%,35,11.67%,149,49.67%,151,50.33%,3,1.00%
534,Stewartville Public School District,2108,153,7.26%,326,15.46%,1041,49.38%,1067,50.62%,11,0.52%
834,Stillwater Area Public School District,8554,1631,19.07%,1309,15.30%,4162,48.66%,4392,51.34%,206,2.41%
486,Swanville Public School District,329,18,5.47%,43,13.07%,145,44.07%,184,55.93%,11,3.34%
564,Thief River Falls School District,2020,341,16.88%,388,19.21%,993,49.16%,1027,50.84%,21,1.04%
2904,Tracy Area Public School District,732,165,22.54%,115,15.71%,356,48.63%,376,51.37%,34,4.64%
2905,Tri-City United School District,1899,414,21.80%,335,17.64%,867,45.66%,1032,54.34%,146,7.69%
2358,Tri-County School District,200,7,3.50%,36,18.00%,108,54.00%,92,46.00%,0,0.00%
2125,Triton School District,1075,246,22.88%,195,18.14%,520,48.37%,555,51.63%,59,5.49%
458,Truman Public School District,216,18,8.33%,36,16.67%,91,42.13%,125,57.87%,0,0.00%
914,Ulen-Hitterdal Public School District,303,61,20.13%,45,14.85%,143,47.19%,160,52.81%,1,0.33%
550,Underwood Public School District,567,36,6.35%,67,11.82%,276,48.68%,291,51.32%,2,0.35%
2134,United South Central School District,737,144,19.54%,117,15.88%,369,50.07%,368,49.93%,21,2.85%
487,Upsala Public School District,380,16,4.21%,51,13.42%,183,48.16%,197,51.84%,0,0.00%
818,Verndale Public School District,573,43,7.50%,120,20.94%,283,49.39%,290,50.61%,5,0.87%
706,Virginia Public School District,1765,293,16.60%,265,15.01%,786,44.53%,979,55.47%,3,0.17%
811,Wabasha-Kellogg Public School District,515,52,10.10%,75,14.56%,261,50.68%,254,49.32%,9,1.75%
640,Wabasso Public School District,407,17,4.18%,64,15.72%,214,52.58%,193,47.42%,0,0.00%
110,Waconia Public School District,4123,415,10.07%,618,14.99%,1983,48.10%,2140,51.90%,65,1.58%
2155,Wadena-Deer Creek School District,1040,108,10.38%,215,20.67%,547,52.60%,493,47.40%,5,0.48%
113,Walker-Hackensack-Akeley School District,799,269,33.67%,189,23.65%,371,46.43%,428,53.57%,1,0.13%
2176,Warren-Alvarado-Oslo School District,526,97,18.44%,96,18.25%,266,50.57%,260,49.43%,12,2.28%
690,Warroad Public School District,1002,263,26.25%,168,16.77%,491,49.00%,511,51.00%,30,2.99%
829,Waseca Public School District,1945,401,20.62%,351,18.05%,945,48.59%,1000,51.41%,79,4.06%
111,Watertown-Mayer Public School District,1552,89,5.73%,267,17.20%,743,47.87%,809,52.13%,14,0.90%
2143,Waterville-Elysian-Morristown Public School District,791,100,12.64%,159,20.10%,388,49.05%,403,50.95%,7,0.88%
435,Waubun-Ogema-White Earth Public Schools,697,563,80.77%,106,15.21%,339,48.64%,358,51.36%,0,0.00%
284,Wayzata Public School District,11948,4470,37.41%,1078,9.02%,5762,48.23%,6186,51.77%,396,3.31%
2342,West Central Area,786,62,7.89%,137,17.43%,392,49.87%,394,50.13%,8,1.02%
197,West St. Paul-Mendota Heights-Eagan,5222,2591,49.62%,990,18.96%,2546,48.76%,2676,51.24%,608,11.64%
2898,Westbrook-Walnut Grove Schools,364,100,27.47%,66,18.13%,177,48.63%,187,51.37%,62,17.03%
277,Westonka Public School District,2447,335,13.69%,424,17.33%,1163,47.53%,1284,52.47%,9,0.37%
803,Wheaton Area Public School District,392,68,17.35%,67,17.09%,185,47.19%,207,52.81%,4,1.02%
624,White Bear Lake School District,8860,2396,27.04%,1483,16.74%,4291,48.43%,4569,51.57%,323,3.65%
347,Willmar Public School District,4478,2688,60.03%,604,13.49%,2177,48.62%,2301,51.38%,1101,24.59%
577,Willow River Public School District,415,20,4.82%,72,17.35%,209,50.36%,206,49.64%,1,0.24%
177,Windom Public School District,1064,313,29.42%,202,18.98%,487,45.77%,577,54.23%,90,8.46%
2609,Win-E-Mac School District,487,28,5.75%,67,13.76%,228,46.82%,259,53.18%,0,0.00%
861,Winona Area Public School District,2937,593,20.19%,656,22.34%,1406,47.87%,1531,52.13%,93,3.17%
518,Worthington Public School District,3904,2569,65.80%,522,13.37%,1868,47.85%,2036,52.15%,1104,28.28%
100,Wrenshall Public School District,377,35,9.28%,70,18.57%,194,51.46%,183,48.54%,3,0.80%
2190,Yellow Medicine East,696,214,30.75%,155,22.27%,338,48.56%,358,51.44%,19,2.73%
2805,Zumbrota-Mazeppa School District,1204,88,7.31%,182,15.12%,577,47.92%,627,52.08%,7,0.58%
